ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
Gpm6a,0.122565106,0.165551571,0.160432726,0.075555544,0.101317114,0.07821417,0.556149132,1.075955215,0.165856081,0.277410804,0.448665383,0.407487097,0.533648821,0.709910362
Helt,1.173575223,0.808125493,0.348355164,0.352333356,0.306573443,0.255786509,2.372590234,1.10738183,1.142125667,0.719402656,2.092980758,1.370835363,1.274167035,1.78643175
Nacc2,0.423512983,0.354491455,0.09464191,0.12000909,0.105470673,0.150659483,5.295861596,3.098208168,1.598648989,1.223607307,2.837577153,2.706004681,2.731954607,3.993785606
D830031N03Rik,0.296177839,0.172570582,0.158183491,0.14451004,0.135153117,0.088896394,1.186531746,1.580096362,0.313232536,0.156829539,0.379062494,0.391792834,0.472924696,0.723896587
Ndp,0.614530288,0.81610999,0.290736254,0.286365717,0.278687638,0.194656393,1.238101252,1.954335489,0.384114127,0.259320715,1.305364705,1.028542404,0.871037725,1.245226267
Eif5,7.936872924,8.287139589,1.701282412,2.392628305,2.473080297,1.733766041,4.886051789,5.895629121,4.713608093,12.19946564,27.79227686,27.29212725,13.40943231,14.90638107
Dlg1,0.108797702,0.112389378,0.118381989,0.064577127,0.068432814,0.035018785,1.61200612,0.422218695,0.087574485,0.126402698,0.672790788,0.569487478,0.418360177,0.630773889
R3hdm1,0.115740716,0.171787125,0.108509207,0.073850072,0.07592539,0.055818979,0.584505743,0.7279395,0.065387394,0.073350599,0.53411932,0.704755381,0.681628623,0.653886783
Plekha7,0.16335832,0.154033371,0.222744722,0.046758457,0.043379213,0.034101792,0.588232872,1.220181466,0.116138984,0.139915296,0.4016206,0.773197069,0.470103473,0.788986106
Cxxc4,0.194068951,0.198470486,0.440439883,0.093573464,0.161106235,0.073335265,0.598764822,0.769232249,0.133295852,0.102574588,0.523923201,0.812075517,0.461944239,0.868685418
EN1,0.533549173,0.311905003,0.198058084,0.135245666,0.100922966,0.103920011,1.111962097,2.019001919,0.928572213,1.053332978,1.66696119,1.722395851,2.107534379,2.66617404
Tsga10,0.096899122,0.122258069,0.068261573,0.152026589,0.039528247,0.091448167,0.578166758,0.456587515,0.981707429,0.915385266,0.406840019,0.678744859,0.654501775,0.943751709
Zc3h6,0.65576204,0.674796908,0.155973637,0.133047522,0.170846363,0.20176932,1.24444563,1.514295102,0.347564659,1.338587885,2.651373767,3.523458601,2.690878221,3.911010756
RUNX2,42.72754072,46.40554996,7.823311298,9.567445529,22.36695357,18.60544306,24.31142026,37.77408134,238.1026648,281.3953325,137.7651957,55.10779869,24.509865,22.75225628
Pcdh7,2.65287831,2.235626812,0.615541403,0.674967689,0.610812633,0.378931715,2.259912317,1.314290612,1.285899961,1.403039673,12.1329808,12.60805383,8.901244454,9.107983468
Mecom,0.139183242,0.207336914,0.151244629,0.110386278,0.087585578,0.087866531,0.66013294,1.031007512,0.167909814,0.212859897,1.125373786,1.431396372,1.379341578,1.466237486
