NDP,MGI:102570,2.671450261
RORB,MGI:1343464,2.653203848
SYTL2,MGI:1933366,2.606979959
JARID2,MGI:104813,2.603076613
ELAVL4,MGI:107427,2.570725717
BCL2,MGI:88138,2.540516204
ZFP608,MGI:2442338,2.503908212
HOXD3,MGI:96207,2.45885642
VWC2L,MGI:2444069,2.426184897
D830031N03RIK,MGI:3045367,2.411511181
TEK,MGI:98664,2.319329875
RFX4,MGI:1918387,2.302363278
FIGN,MGI:1890647,2.105162839
SLITRK1,MGI:2679446,2.057462795
EN1,MGI:95389,2.001621771
JMJD1C,MGI:1918614,1.979157924
EMX2,MGI:95388,1.946861713
RBMS3,MGI:2444477,1.942783021
NACC2,MGI:1915241,1.917527879
NDST4,MGI:1932545,1.909397359
LRRTM1,MGI:2389173,1.908349048
RUNX1,MGI:99852,1.907265325
FEZF2,MGI:1859823,1.900141375
QRICH1,MGI:1916482,1.874044061
FGF10,MGI:1099809,1.722883809
SOX2,MGI:98364,1.720799054
BDNF,MGI:88145,1.717130201
DCC,MGI:94869,1.67363783
MAGI1,MGI:1203522,1.670454641
RNF10,MGI:1859162,1.654956242
BCL11A,MGI:106190,1.629680972
ZBTB38,MGI:2442866,1.622055913
NFIB,MGI:103188,1.502875494
DICER1,MGI:2177178,1.475069279
INTS6,MGI:1202397,1.46490014
SLC5A3,MGI:1858226,1.453904189
DLG2,MGI:1344351,1.448894123
ELAVL2,MGI:1100887,1.401466854
MAPK6,MGI:1354946,1.399844793
DLG3,MGI:1888986,1.391711706
SEMA6A,MGI:1203727,1.295300925
CXXC4,MGI:2442112,1.250784981
NEUROD6,MGI:106593,1.245009086
EXT1,MGI:894663,1.23164712
MEIS1,MGI:104717,1.22751867
MEF2C,MGI:99458,1.221701295
FAM19A1,MGI:2443695,1.212117871
IKZF2,MGI:1342541,1.205497225
TBR1,MGI:107404,1.197771957
NTNG1,MGI:1934028,1.164326461
NR1D1,MGI:2444210,1.157734975
HHIP,MGI:1341847,1.093816658
NYAP2,MGI:2443135,1.064611196
GPR21,MGI:2441890,1.051727563
GRIN2B,MGI:95821,1.025693294
NFAT5,MGI:1859333,0.999144092
MAML3,MGI:2389461,0.952248055
ELAVL4,MGI:107427,0.931461601
