x,ES1,ES2,ES3,ES4,NSC1,NSC2,NSC3,NSC4,NSC5,NSC6,NSC7,NEU1,NEU2,NEU3,NEU4,NEU5,NEU6,ML1,ML2,ML3,ML4,ML5,ML6,EB1,EB2,EB3,EB4
"17 ""BRD2""",15.43823,6.5839381,4.134091893,4.87823631,7.369718937,12.42153064,37.45585187,39.4025411,16.19214781,9.608098982,16.54449294,2.833880014,3.628586934,1.899205859,8.493974138,1.358787774,2.45343118,5.836306764,7.392980181,9.646627028,8.256258451,2.070490653,1.130612306,1.069766468,1.015596066,0.95400713,1.203427929
"18 ""BRINP1""",0.938984379,0.629535005,0.951454035,1.07985286,NA,0.92827095,0.291279167,0.313916814,0.521780989,0.460634579,0.346120715,0.28148942,0.83007836,1.435723009,1.360070327,1.337452499,0.953491258,2.221965491,3.476861073,1.674205559,2.031321367,0.639399273,0.288969428,0.606187446,0.247767161,0.638784819,0.166840222
"19 ""CACNG2""",3.565851893,2.059781716,2.293980257,2.388343378,4.555753559,6.807163399,7.676049796,8.19981946,5.846542608,4.174128454,2.897647343,1.407214408,1.62526017,2.850985,2.422787995,0.905578296,2.17134745,5.248202747,3.669816383,5.156584993,4.933531061,1.360557407,0.946123851,0.39280942,0.535703586,0.549312081,0.420150879
"20 ""CAR10""",0.995201737,1.175378847,1.843304578,1.202533301,NA,4.981710309,0.816720847,1.261996133,1.005596848,0.735636418,1.566049614,NA,NA,3.152114748,6.354577813,1.167071315,1.405977572,4.219489136,5.561391965,3.386058325,4.260702106,0.692432181,0.668035102,0.293784516,0.27123263,0.176019889,0.323142975
"21 ""CHD2""",1.161677508,1.1444126,1.27487611,1.180398969,NA,NA,1.12189765,1.030361565,1.603913835,0.876428457,1.054570494,0.711698714,0.754059672,0.77137476,0.914477795,0.676960609,0.732312146,2.119333842,2.843038056,2.124228066,2.638655662,0.749242483,0.444595377,0.381241582,0.360048212,0.336899216,0.346751688
"22 ""CHRDL1""",0.303896628,0.323484148,0.704740364,0.525393332,3.073855649,0.561252302,0.805061389,0.79538048,0.750235178,0.768464058,0.556394578,0.23616679,0.57646825,0.739262765,1.134399583,0.345260305,0.786680383,1.931550601,2.087197309,1.917948619,2.061252158,0.392551448,0.208927419,0.135237853,0.09727418,0.138383711,0.083781541
"23 ""CHTOP""",0.101198375,0.101349643,0.252079115,0.199345507,NA,NA,0.217489615,0.192100099,0.194690548,0.172076172,0.129708553,0.077405565,0.174816353,0.194124772,0.272807476,0.062963121,0.25480679,0.674267984,0.936822226,0.782097802,0.709919725,0.2231953,0.146747085,0.089030402,0.051517656,0.026376669,0.051686899
"24 ""CNOT3""",1.169964206,0.852543656,1.037175474,0.83234388,NA,NA,0.988938322,1.207212483,0.662107393,1.338919121,0.55594882,0.835588915,0.91323424,1.202788775,1.074921757,0.516786922,0.968420206,1.590835535,1.904882905,1.604617818,2.125210702,0.660366214,0.499626386,0.227373047,0.210241775,0.189710857,0.222106457
"25 ""CNTN4""",0.404792112,0.265293746,0.212079622,0.214593537,0.768291444,1.033472383,0.181809746,0.485619282,0.102771584,0.158607551,0.085406199,0.615211529,0.39977577,0.190629088,0.216244166,0.171129607,0.170124469,0.490650574,0.801568635,0.481108702,0.643940322,0.008061357,0.094767646,0.332616223,0.298381292,0.299996316,0.137866436
"26 ""CNTN6""",12.92758507,10.0789716,8.723364578,NA,19.46947909,43.79134393,37.25722843,37.64179841,25.00183511,34.0514111,25.26704042,3.785195139,12.95308239,5.917316635,10.19347197,3.945197036,3.760138747,15.95269828,13.08905217,30.1691098,31.96145352,4.036252022,4.150375674,2.061650111,3.938747116,4.373044244,3.490897769
"27 ""COL5A2""",0.749748555,0.699364583,0.886975472,0.845142359,0.881479534,NA,0.689135743,0.883492488,0.94989009,0.639047442,0.820543655,0.369292344,0.528610741,0.981707424,1.525901768,0.771962216,0.875810151,NA,NA,NA,0.711296511,0.36533881,0.251253491,0.382512972,0.217342429,0.321250441,0.261208866
"28 ""CRPV""",1.907778131,1.734483923,1.492458722,1.589328169,2.533674435,6.279663892,5.54559955,5.109853938,3.974196582,3.575454721,2.769451105,1.093206787,1.660907352,1.468508956,2.021282486,1.057280991,1.346219835,3.441209535,4.592694821,3.389307082,3.891588467,0.881915791,0.765645635,0.382559987,0.446679078,0.708470577,0.566738979
"29 ""CRYAB""",0.233394414,0.227617387,0.56545388,0.59466857,NA,1.154110375,0.290879803,0.475328131,0.323162144,0.675493117,0.364527235,0.1594535,0.411617446,0.317052707,0.466665636,0.149594423,0.222918744,1.574620392,1.521524176,1.58661555,1.574008119,0.420538385,0.372242608,0.177828018,0.058345369,0.071524028,0.069401525
"30 ""CSDE1""",0.095814162,0.085746801,0.283876297,0.241928417,NA,NA,0.370748737,0.387118176,0.179778988,0.319152057,0.181416841,0.277340215,0.519832747,0.227161932,0.247928063,NA,0.548128097,0.55941004,0.800791862,0.65010808,0.855627557,0.217620884,0.171662966,0.116552983,0.051498956,0.078591297,0.060896386
"31 ""CTDSP2""",0.122565106,0.165551571,0.296425765,0.289470753,NA,NA,0.236727698,0.303257487,0.190956376,0.279776892,0.1599274,0.165856081,0.277410804,0.308652311,0.417934147,0.117909878,0.471257661,0.533648821,0.709910362,0.448665383,0.407487097,0.179824527,0.081906139,0.160432726,0.075555544,0.101317114,0.07821417
"32 ""CXXC4""",1.173575223,0.808125493,1.31211094,1.480638782,2.372590234,NA,1.690898628,0.885954237,1.425539535,1.65385501,1.370713607,1.142125667,0.719402656,0.915655923,0.868876432,0.518908027,1.240337894,1.274167035,1.78643175,2.092980758,1.370835363,0.750883467,0.34932429,0.348355164,0.352333356,0.306573443,0.255786509
"33 ""D830031N03RIK""",0.423512983,0.354491455,0.422461538,0.40506701,5.295861596,3.098208168,2.368578305,4.844024743,1.588855708,1.468063117,0.97347979,NA,NA,1.327255462,1.676123908,1.258231418,1.259390534,2.731954607,3.993785606,2.837577153,2.706004681,0.69254913,0.613477215,0.09464191,0.12000909,0.105470673,0.150659483
"34 ""DCC""",0.296177839,0.172570582,0.4473261,0.312991113,NA,1.580096362,0.547091656,0.701780414,0.608337633,0.948643845,0.921537142,0.313232536,0.156829539,0.210261994,0.515901468,0.303972013,0.28850608,0.472924696,0.723896587,0.379062494,0.391792834,0.162100934,0.14395013,0.158183491,0.14451004,0.135153117,0.088896394
"35 ""DDX17""",0.614530288,0.81610999,0.833094614,0.806101165,1.238101252,NA,0.815386186,0.622375885,0.417965974,0.576239793,0.264070687,0.384114127,0.259320715,0.447179141,0.823392749,0.463407265,0.763094235,0.871037725,1.245226267,1.305364705,1.028542404,0.007385799,0.148750113,0.290736254,0.286365717,0.278687638,0.194656393
"36 ""DDX6""",7.936872924,8.287139589,15.1626195,9.663671547,4.886051789,NA,6.705844204,7.066461039,9.946170343,8.397025583,9.424703256,4.713608093,12.19946564,10.98158026,17.72767612,5.827160904,4.218663226,13.40943231,14.90638107,27.79227686,27.29212725,4.094710754,6.25458114,1.701282412,2.392628305,2.473080297,1.733766041
"37 ""DICER1""",0.108797702,0.112389378,0.552691878,0.242776976,1.61200612,0.422218695,0.162879068,0.202845517,0.099753737,0.124387796,0.135705047,0.087574485,0.126402698,0.127532516,0.427802213,0.099007676,0.101749373,0.418360177,0.630773889,0.672790788,0.569487478,0.155371359,0.109740235,0.118381989,0.064577127,0.068432814,0.035018785
"38 ""DLG1""",0.115740716,0.171787125,0.290163461,0.26590498,NA,NA,0.187647216,0.176980311,0.200701503,0.204258486,0.158850842,0.065387394,0.073350599,0.192526747,0.343681494,0.143463939,0.227915879,0.681628623,0.653886783,0.53411932,0.704755381,0.18356433,0.103643598,0.108509207,0.073850072,0.07592539,0.055818979
"39 ""DLG2""",0.16335832,0.154033371,0.314811368,0.297616695,NA,NA,0.277878592,0.31085837,0.169357021,0.184237666,0.149030874,0.116138984,0.139915296,0.233607498,0.329369432,0.110078957,0.330281141,0.470103473,0.788986106,0.4016206,0.773197069,0.232,0.095405675,0.222744722,0.046758457,0.043379213,0.034101792
"40 ""DLG3""",0.194068951,0.198470486,0.209854692,0.223554999,NA,NA,0.271684033,0.337196481,0.228140456,0.212516492,0.13346012,0.133295852,0.102574588,0.195707283,0.239704702,0.383976287,0.217935061,0.461944239,0.868685418,0.523923201,0.812075517,0.307199695,0.149068109,0.440439883,0.093573464,0.161106235,0.073335265
"41 ""DLX1""",0.533549173,0.311905003,0.313412226,0.404915314,1.111962097,2.019001919,1.041871189,1.459476931,0.553131939,0.543147967,0.627048234,NA,NA,0.427537763,0.658650331,0.611319445,0.706355722,2.107534379,2.66617404,1.66696119,1.722395851,0.319158683,0.319107055,0.198058084,0.135245666,0.100922966,0.103920011
"42 ""E2F3""",0.096899122,0.122258069,0.245586075,0.155187708,0.578166758,0.456587515,0.178373914,0.1616576,0.142789472,0.096106328,0.082329105,NA,NA,0.133333641,0.219919267,0.214384638,0.212552543,0.654501775,0.943751709,0.406840019,0.678744859,0.158349743,0.158066375,0.068261573,0.152026589,0.039528247,0.091448167
"43 ""EBF2""",0.65576204,0.674796908,1.10527955,1.310391252,1.24444563,1.514295102,0.46942755,0.656080829,0.439079025,0.953122233,0.575295043,0.347564659,NA,0.386864233,0.841956943,0.624980161,0.372627866,2.690878221,3.911010756,2.651373767,3.523458601,0.887019318,0.662018379,0.155973637,0.133047522,0.170846363,0.20176932
"44 ""EBF3""",NA,NA,0.192807961,0.10671681,24.31142026,37.77408134,95.56621517,150.3979402,0.064289638,0.059277593,0.057718491,238.1026648,281.3953325,NA,NA,0.00797065,0.037907682,24.509865,22.75225628,137.7651957,55.10779869,0.010085114,0.00442186,NA,NA,NA,NA
"45 ""EDN1""",2.65287831,2.235626812,5.882920813,4.674541461,NA,NA,4.229280602,2.946652403,1.876805164,2.271085821,3.626909852,1.285899961,1.403039673,2.532175311,7.0630221,1.692240689,2.78802394,8.901244454,9.107983468,12.1329808,12.60805383,2.892871595,2.774061176,0.615541403,0.674967689,0.610812633,0.378931715
"46 ""EHBP1""",0.139183242,0.207336914,0.328564752,0.361412471,NA,NA,0.359637956,0.401405366,0.36745348,0.328682602,0.314771649,0.167909814,0.212859897,0.586095082,0.662464046,0.328079774,0.67106903,1.379341578,1.466237486,1.125373786,1.431396372,0.489077235,0.215817615,0.151244629,0.110386278,0.087585578,0.087866531
"47 ""EIF5""",0.115961075,0.13012543,0.225412017,0.220800623,NA,0.984615669,0.210512817,0.261646533,0.100828098,0.292823841,0.224983752,0.073101929,0.147565617,0.20238277,0.337859266,0.179702227,0.169095057,0.959832753,1.182712462,1.377446244,1.096740471,0.472388231,0.173680829,0.107034309,0.216620782,0.055754406,0.052843262
"48 ""ELAVL2""",0.11106229,0.152316924,0.242056212,0.301681855,NA,NA,0.17572083,0.108226545,0.243020025,0.150558138,0.174602211,0.159751271,0.365262904,0.222233072,0.280336917,0.165436777,0.187117293,1.385053639,1.128665337,1.329254319,1.355528646,0.400984749,0.256743879,0.111733417,0.067091792,0.037629102,0.0564189
