genes,firefly rep1,renilla rep1,firefly rep2,renilla rep2,firefly rep3,renilla rep3,firefly rep4,renilla rep4,firefly rep5,renilla rep5,firefly rep6,renilla rep6,firefly_avg,renilla_avg
Slc12a5,1.851255164,0.501868886,4.106139132,1.573532548,0.445861561,0.189141835,0.31406307,0.174899652,0.745316219,0.361643105,0.600340327,0.425603852,1.343829246,0.537781646
Smarca2,1.263674454,0.785790952,3.007018188,2.072948224,0.570937309,0.199656262,0.917213909,0.32251484,0.686419269,0.478788362,0.562667233,0.607020401,1.167988394,0.744453174
Taok1,0.538521818,0.325249269,0.642007083,0.389959204,0.832373177,0.416759482,0.850345169,0.364679076,0.643522667,1.444015463,0.903146014,0.324625693,0.734985988,0.544214698
Ank3,0.35052478,1.02222321,0.255445702,2.332285747,11.80802056,1.372758875,0.954015875,0.205207298,0.596198431,0.329482772,0.93282766,0.662635288,2.482838835,0.987432198
Rai1,0.853449374,1.008697618,1.181035627,2.6385171,2.364844196,0.398604367,0.856278225,0.465060329,0.459744284,0.410635306,0.545261273,0.465388843,1.043435497,0.897817261
Lrrtm3,5.34515227,1.119812275,16.62406451,2.506858727,0.321325253,0.267735029,0.322697806,0.27616574,0.36241312,0.42110378,0.257555903,0.682863122,3.872201477,0.879089779
Tial1,1.412496887,0.340552424,2.689715539,0.818960538,3.537499941,0.900547352,0.786696393,0.362854124,1.056163139,0.563456334,1.180046759,1.252742191,1.77710311,0.706518827
Senp3,0.33087794,0.163404713,0.653063406,0.662219543,0.826855403,0.275191994,0.723000832,0.28141004,0.845171453,0.698246934,0.493189746,0.367550001,0.645359797,0.408003871
FAM193B,2.539049695,32.8107619,5.232409759,42.3348,0.571897039,0.314282653,0.707290652,0.742185608,0.355953815,4.18522524,0.394856658,0.165660259,1.63357627,13.42548594
PPM1B,2.040815664,86.145,4.871384404,41.90364524,0.563852346,0.367997856,0.882364577,0.84444479,0.512674324,2.315793906,0.675133589,0.416664931,1.591037484,21.99892445
DEDD,1.117047969,1.350002167,1.61073943,5.851136487,0.351368666,0.115686007,0.708488929,0.557249945,0.148041703,0.322579209,0.392512628,0.672410583,0.721366554,1.4781774
HCV,0.625646629,0.681338773,1.579605962,0.745315911,0.737297685,0.39968557,0.728644412,0.641475007,0.670308379,0.36521713,0.97806737,0.500036,0.886595073,0.555511399
S3C1,0.936585985,1.129328622,4.508290916,2.099453962,0.573812573,0.270770251,0.598838121,0.48124347,0.366109872,0.029716409,1.104147698,0.185374815,1.347964194,0.699314588
CSDE1,0.225447369,0.21955091,0.929788829,0.563669212,0.450296336,0.229395324,0.742884811,0.396605733,0.836273764,0.284254055,0.848631143,0.37232636,0.672220375,0.344300266
KMT2E,0.272846769,0.404929393,1.239910776,0.85256986,0.504647036,0.477122237,0.854413903,0.668913723,0.508358487,0.447328054,0.549726059,0.415862941,0.654983838,0.544454368
TBR1,0.233961431,0.205910149,1.225977969,0.87306586,0.439769638,0.295234856,0.614709705,0.55211441,1.15837705,0.503445713,1.282601065,0.65059739,0.825899476,0.51339473
LRP1,0.341971301,0.241725901,1.693238468,1.229138729,0.431997502,0.172685692,0.667542765,0.523341138,1.620769601,0.689361555,1.278047342,0.825883586,1.005594497,0.613689434
EIF4G3,0.147166814,6.000057143,0.612046822,2.450995194,0.488578297,0.275278368,0.531004805,0.306008678,0.399499903,0.881356334,0.836692594,0.588888494,0.502498206,1.750430702
CNTN6,0.784568689,0.732233561,1.702543044,0.921424334,0.164304067,0.2854511,1.289095206,0.595367143,0.244512528,0.012591788,1.010664057,0.280253033,0.865947932,0.47122016
PBX1,0.747474003,0.331186911,0.5899961,0.343167966,0.341493275,0.389060334,0.624486225,0.849904462,1.613723731,0.618432669,1.149489186,0.396014867,0.844443753,0.487961202
CACNG2,0.425835159,0.467929645,0.689875381,0.832959909,0.533989414,0.216645751,0.985048602,1,1.547064152,1.104141875,0.735656806,0.37054357,0.819578252,0.665370125
CHD2,0.556204485,0.426037647,1.187304974,0.911440829,0.330648677,0.366283505,2.219070711,1.127114352,0.7416158,0.348750637,0.65511503,0.440638787,0.948326613,0.603377626
MBNL1,0.474812504,5.464321429,1.440384203,2.44445,0.230579794,0.423528595,1.235522066,0.888887963,0.583592995,1.230768343,0.438324985,0.333331643,0.733869425,1.797547996
INTS6,0.505740257,0.611332656,0.911764201,0.632506961,0.32019582,0.169377929,0.582470128,0.543026393,0.772547841,0.572369432,2.642669191,0.501163742,0.955897906,0.504962852
DLG3,0.447069335,0.482650857,1.166245067,1.010013518,0.283220649,0.267680716,1.231647888,0.90734209,0.680312691,0.549662893,0.502284955,0.446230732,0.718463431,0.610596801
FGF9,0.307023056,0.296939153,1.410855525,1.030224184,0.839950108,0.4205975,1.094368878,0.523159361,1.053174884,0.377855401,0.85939453,0.328428264,0.927461164,0.496200644
SRGAP2,0.549892327,0.806234776,1.064665195,0.928346692,0.245471266,0.166910525,0.679022856,0.484691729,0.270203747,0.101333902,0.661509959,0.140718306,0.578460892,0.438039322
SERTAD2,0.832838206,0.709378579,0.89939803,0.741739985,0.59670083,0.367069932,1.431634026,0.815103224,0.396017973,0.210632879,0.535155623,0.24658048,0.781957448,0.51508418
NLK,1.007058657,0.883508925,1.028946759,0.961099288,0.769267657,0.345115777,1.199145636,1.276125559,1.072085535,0.63279826,0.471271641,0.822070209,0.924629314,0.82011967
TCF7L2,0.365162839,0.308313608,0.88717432,0.637454178,0.275336658,0.279599846,0.64977441,0.548654542,0.780729216,0.769882564,0.447560705,0.348904455,0.567623025,0.482134866
CNOT3,0.601055072,0.908863112,1.079506648,0.777480297,0.447643805,0.186881661,1.178158723,0.809204269,0.975496732,0.733853857,0.826648929,0.717442545,0.851418318,0.68895429
CTDSP2,0.457211056,0.459511915,0.760318228,0.536324128,0.173034494,0.183034587,1.358857328,1.240584267,2.202090873,1.902241303,0.967502025,2.722598106,0.986502334,1.174049051
RFX7,0.438195044,0.318541056,2.298733589,1.377424318,0.431761299,0.219233298,1.21352207,0.597052516,0.73227178,0.598475693,0.99764248,0.941510866,1.01868771,0.675372958
ELAVL4,0.338747084,0.284487763,0.961818303,0.56735819,0.360849173,0.223686336,1.249101901,0.89206393,1.06332021,0.515742929,0.974697188,0.369525747,0.824755643,0.475477483
BRD2,0.503248245,0.327101149,0.883643512,0.536422938,0.322038277,0.086216475,0.62717448,0.324640381,0.42264069,0.2616095,1.069203266,0.291926003,0.637991412,0.304652741
DLX1,0.491317746,0.960000457,0.170402825,0.160782184,0.324640797,0.191480446,0.895064555,0.577518938,0.386368456,0.41029248,0.777953378,0.586447158,0.507624626,0.481086944
